Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\Users\sacha> scoop list
There aren't any apps installed.
PS C:\Users\sacha> scoop search
Results from local buckets...

Name                                    Version                           Source Binaries
opencv                                  3.4.16                            main
openocd                                 0.12.0                            main
openresty                               1.21.4.1                          main
openshift-okd-client                    4.12.0-0.okd-2023-04-16-041331    main
openshift-origin-client                 3.11.0                            main
openssh                                 9.2.2.0p1                         main
openssl-mingw                           3.0.2_1                           main
openssl                                 3.1.0                             main
optipng                                 0.7.7                             main
opus-tools                              0.2-opus-1.3                      main
oracle-instant-client-odbc              21.10.0.0.0                       main
oracle-instant-client-sdk               21.10.0.0.0                       main
oracle-instant-client-sqlplus           21.10.0.0.0                       main
oracle-instant-client                   21.10.0.0.0                       main
oscdimg                                 2.56                              main
osquery                                 5.8.2                             main
ossgadget                               0.1.400                           main
osslsigncode                            2.5                               main
ossutil                                 1.7.16                            main
osv-scanner                             1.3.3                             main
ouch                                    0.4.1                             main
outwit                                  1.25                              main
oxipng                                  8.0.0                             main
p4                                      2022.2-2407422                    main
pack                                    0.29.0                            main
packer                                  1.8.7                             main
pacparser                               1.4.0                             main
paket                                   7.2.1                             main
pandoc-crossref                         0.3.15.2a                         main
pandoc                                  3.1.2                             main
par2cmdline                             0.8.1                             main
passbolt-cli                            0.2.0                             main
pastel                                  0.9.0                             main
patch                                   2.6.1                             main
pciutils                                3.5.5                             main
pcre2grep                               10.39                             main
pcregrep                                8.45                              main
pdf2djvu                                0.9.19                            main
pdfbox                                  2.0.28                            main
pdfcpu                                  0.4.1                             main
pdftk                                   2.02                              main
pe-sieve                                0.3.6                             main
peco                                    0.5.11                            main
pelook                                  1.75                              main
perfetto                                34.0                              main
perl                                    5.32.1.1                          main
pester                                  5.4.1                             main
pget                                    0.1.1                             main
phantomjs                               2.1.1                             main
php-nts                                 8.2.6                             main
php                                     8.2.6                             main
pkg-config                              0.26-1                            main
plex-server                             1.32.1.6999-91e1e2e2c             main
pluto                                   5.16.3                            main
png2html                                1.1                               main
png2jpeg                                1.0.2.2                           main
pngcrush                                1.8.11                            main
pngquant                                2.18.0                            main
pnpm                                    8.5.1                             main
podman                                  4.5.0                             main
poetry                                  1.5.0                             main
polaris                                 0.14.0                            main
poppler                                 23.05.0-0                         main
portainer                               1.23.2                            main
portal                                  1.2.3                             main
portwarden                              1.0.0                             main
postgresql                              15.3                              main
postgrest                               11.0.1                            main
potrace                                 1.16                              main
powerline-go                            1.23                              main
powerping                               1.3.3                             main
powersession-rs                         0.1.7                             main
powersession                            1.4.7                             main
premake                                 5.0.0-beta2                       main
presentmon                              1.8.0                             main
prince                                  15.1                              main
prm                                     3.5.0                             main
process-governor                        2.12                              main
procs                                   0.14.0                            main
procyon                                 0.5.36                            main
prometheus-pushgateway                  1.5.1                             main
prometheus                              2.44.0                            main
promtail                                2.8.2                             main
protoc-gen-grpc-web                     1.4.2                             main
